ranking,dist_class,size_class,dist,size,status,taxon,state,user_category,user_login,taxon_species_name,taxon_group,latitude,longitude,size_scaled,dist_scaled,log_dist,growth
114,narrow,small,4,3,VU,Amphibia,Rocha,beginner,intiporley,Melanophryniscus montevidensis,tetrapods,-33.9546714965,-53.4586029429,-0.61163731105427,-2.9267096493548133,1.3862943611198906,NA
114,narrow,small,4,3,VU,Amphibia,Rocha,beginner,intiporley,Melanophryniscus montevidensis,tetrapods,-33.8440209971,-53.5059229415,-0.61163731105427,-2.9267096493548133,1.3862943611198906,NA
114,wide,large,19,45,LC,Amphibia,Rocha,beginner,intiporley,Leptodactylus gracilis,tetrapods,-33.951334,-53.518739,0.0710752902293826,0.4292554344470148,2.9444389791664403,NA
746,wide,small,19,13,LC,Aves,Cerro Largo,beginner,javier1-flaniguen,Pyrocephalus rubinus,tetrapods,-32.6694368326,-53.2665252686,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,60,LC,Aves,Maldonado,beginner,javier1-flaniguen,Cathartes aura,tetrapods,-34.8659331314,-55.2529907227,0.3149012192592585,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,56,LC,Aves,Cerro Largo,beginner,javier1-flaniguen,Cathartes burrovianus,tetrapods,-32.7202878811,-53.3084106445,0.24988097151795827,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,60,LC,Aves,Maldonado,beginner,javier1-flaniguen,Cathartes aura,tetrapods,-34.8653697424,-55.2553939819,0.3149012192592585,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,53,LC,Aves,Maldonado,beginner,javier1-flaniguen,Coragyps atratus,tetrapods,-34.8129576968,-55.2584838867,0.2011157857119831,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,60,LC,Aves,Cerro Largo,beginner,javier1-flaniguen,Cathartes aura,tetrapods,-32.3490774393,-53.9226150513,0.3149012192592585,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,53,LC,Aves,Maldonado,beginner,javier1-flaniguen,Coragyps atratus,tetrapods,-34.8121120678,-55.2529907227,0.2011157857119831,0.4292554344470148,2.9444389791664403,NA
746,wide,large,19,60,LC,Aves,Cerro Largo,beginner,javier1-flaniguen,Cathartes aura,tetrapods,-32.3480622923,-53.8446807861,0.3149012192592585,0.4292554344470148,2.9444389791664403,NA
327,wide,large,19,55,LC,Aves,Río Negro,beginner,cmbiancardi,Caracara plancus,tetrapods,-33.065075,-58.06961,0.2336259095826332,0.4292554344470148,2.9444389791664403,NA
327,wide,small,19,12,LC,Aves,Paysandú,beginner,cmbiancardi,Zonotrichia capensis,tetrapods,-32.320594,-58.083214,-0.46534175363634445,0.4292554344470148,2.9444389791664403,NA
327,medium,medium,16,32,LC,Aves,Paysandú,beginner,cmbiancardi,Cyanocorax chrysops,tetrapods,-31.6156,-57.984359,-0.1402405149298432,-0.24193758231335077,2.772588722239781,NA
327,wide,large,19,60,LC,Aves,Paysandú,beginner,cmbiancardi,Cathartes aura,tetrapods,-31.612996,-57.984123,0.3149012192592585,0.4292554344470148,2.9444389791664403,NA
327,medium,large,16,55,LC,Aves,Montevideo,beginner,cmbiancardi,Larus dominicanus,tetrapods,-34.911308,-56.208393,0.2336259095826332,-0.24193758231335077,2.772588722239781,NA
327,wide,medium,19,39,LC,Aves,Montevideo,beginner,cmbiancardi,Egretta thula,tetrapods,-34.910657,-56.20599,-0.02645508138256777,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,23,LC,Aves,Paysandú,beginner,cmbiancardi,Zenaida auriculata,tetrapods,-32.306213,-58.093471,-0.28653607234776873,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,32,LC,Aves,Paysandú,beginner,cmbiancardi,Vanellus chilensis,tetrapods,-32.306213,-58.093471,-0.1402405149298432,0.4292554344470148,2.9444389791664403,NA
327,wide,small,19,18,LC,Aves,Montevideo,beginner,cmbiancardi,Furnarius rufus,tetrapods,-34.895048,-56.153397,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
327,wide,large,19,75,LC,Aves,Salto,beginner,cmbiancardi,Ardea cocoi,tetrapods,-31.269821,-57.910308,0.5587271482891345,0.4292554344470148,2.9444389791664403,NA
327,wide,large,19,62,LC,Aves,Colonia,beginner,cmbiancardi,Tigrisoma lineatum,tetrapods,-34.437124,-57.879624,0.3474113431299086,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,45,LC,Aves,Río Negro,beginner,cmbiancardi,Aramides ypecaha,tetrapods,-32.53321,-58.023047,0.0710752902293826,0.4292554344470148,2.9444389791664403,NA
327,wide,small,19,13,LC,Aves,Colonia,beginner,cmbiancardi,Hymenops perspicillatus,tetrapods,-34.437124,-57.879624,-0.4490866917010194,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,37,LC,Aves,Colonia,beginner,cmbiancardi,Daptrius chimango,tetrapods,-34.467805,-57.79537,-0.05896520525321789,0.4292554344470148,2.9444389791664403,NA
327,wide,large,19,55,LC,Aves,Colonia,beginner,cmbiancardi,Caracara plancus,tetrapods,-34.467805,-57.79537,0.2336259095826332,0.4292554344470148,2.9444389791664403,NA
327,wide,large,19,55,LC,Aves,Colonia,beginner,cmbiancardi,Caracara plancus,tetrapods,-34.443654,-57.860913,0.2336259095826332,0.4292554344470148,2.9444389791664403,NA
327,wide,small,19,14,LC,Aves,Colonia,beginner,cmbiancardi,Anarhynchus collaris,tetrapods,-34.467805,-57.79537,-0.43283162976569434,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,38,LC,Aves,Río Negro,beginner,cmbiancardi,Rupornis magnirostris,tetrapods,-32.53321,-58.023047,-0.04271014331789283,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,32,LC,Aves,Colonia,beginner,cmbiancardi,Vanellus chilensis,tetrapods,-34.437124,-57.879624,-0.1402405149298432,0.4292554344470148,2.9444389791664403,NA
327,wide,small,19,18,LC,Aves,Colonia,beginner,cmbiancardi,Furnarius rufus,tetrapods,-34.010834,-58.295001,-0.36781138202439406,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,35,LC,Aves,Colonia,beginner,cmbiancardi,Chroicocephalus maculipennis,tetrapods,-34.010834,-58.295001,-0.09147532912386802,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,25,LC,Aves,Paysandú,beginner,cmbiancardi,Athene cunicularia,tetrapods,-32.324438,-58.010194,-0.2540259484771186,0.4292554344470148,2.9444389791664403,NA
327,wide,medium,19,27,LC,Aves,Rocha,beginner,cmbiancardi,Colaptes campestris,tetrapods,-34.682363,-54.285635,-0.22151582460646851,0.4292554344470148,2.9444389791664403,NA
327,wide,large,19,55,LC,Aves,Rocha,beginner,cmbiancardi,Caracara plancus,tetrapods,-34.682646,-54.29248,0.2336259095826332,0.4292554344470148,2.9444389791664403,NA
